title,url,date,summary,MediaAgency,title_english,summary_english,tags
"പുലിപ്പല്ല് നൽകിയത് ശ്രീലങ്കൻ വംശജനെന്ന് വേടൻ, യഥാർഥമെന്ന് വനം വകുപ്പ്; ജാമ്യമില്ലാ വകുപ്പുകൾ പ്രകാരം കേസ്, 2 ദിവസം കസ്റ്റഡിയിൽ",https://www.manoramaonline.com/news/latest-news/2025/04/29/kochi-rapper-vedan-in-custody-of-forest-department-for-illegal-leopard-tooth-possession.html,29-04-2025,കൊച്ചി ∙ ലഹരിക്കേസിൽ അറസ്റ്റിലായി ജാമ്യം ലഭിച്ചതിനു പിന്നാലെ വനംവകുപ്പ് കസ്റ്റഡിയിലെടുത്ത റാപ്പർ വേടൻ എന്ന ഹിരൺദാസ് മുരളിയുടെ പേരിൽ ഏഴു വർഷം വരെ തടവു ലഭിക്കാവുന്ന വകുപ്പുകൾ ചുമത്തി കേസെടുത്തു. വേടൻ ധരിച്ചിരുന്ന മാലയിലെ പുലിപ്പല്ല് യഥാർഥമാണെന്ന് പ്രാഥമിക പരിശോധനയിൽ വ്യക്തമായതോടെയാണ് വനംവകുപ്പിന്റെ നടപടി.,Manorama,"Sri Lanka origin to be Sri Lanka origin, the case under the forest department is the case, according to the forest department, in custody","The for seven years after the for seven years after he was arrested on the arrest of the Kochi layer of Kochi, the for seven years was charged with the implementation of the rappappar Murali.The process of the forest department is the case with the primary examination that she was truly a sheet of shame in Malayan.","{'locs': ['Sri Lanka', 'Kerala, 682001, India'], 'pers': ['Mu'], 'miscs': ['Malaya'], 'events': []}"
"‘കുട്ടിക്ക് തന്റെ നിറമല്ലെന്നു പറഞ്ഞു, സ്ത്രീധനത്തിന്റെ പേരിലും ഉപദ്രവിച്ചു’; സ്നേഹയുടെ മരണത്തിൽ ഭർത്താവ് അറസ്റ്റിൽ",https://www.manoramaonline.com/news/latest-news/2025/04/29/kannur-woman-suicide-domestic-violence-complaint-against-husband.html,29-04-2025,കണ്ണൂർ ∙ യുവതിയെ വീട്ടിൽ തൂങ്ങിമരിച്ച നിലയിൽ കണ്ടെത്തിയ സംഭവത്തിൽ ഭർത്താവ് അറസ്റ്റിൽ. പായം കേളൻപീടിക സ്വദേശിനി സ്നേഹ (24) യുടെ മരണത്തിൽ ഭർത്താവ് ജിനീഷിനെയാണ് പൊലീസ് അറസ്റ്റ് ചെയ്തത്. സ്വന്തം വീട്ടിൽവച്ച് ഇന്നലെയാണ് സ്നേഹയെ തൂങ്ങിമരിച്ചനിലയിൽ കണ്ടെത്തിയത്. സംഭവത്തിൽ ഭർത്താവ് ജിനീഷിനെതിരെ പരാതിയുമായി സ്നേഹയുടെ കുടുംബം രംഗത്തെത്തിയിരുന്നു.,Manorama,Her husband arrested in dwelling in the death of Dowry in the name of Dowry,The husband arrested in the incident that Kannur woman was hanging on her houseThe police have arrested her husband Jenish in the death of 24 of Solivaris 24 of Kelandapettka.Yesterday was found in his own house yesterday.Love had to complain against husband in the incident.,"{'pers': ['Dow', 'Jenish', 'Ka'], 'orgs': ['Sol', 'KelandapettkaYesterday'], 'events': []}"
"പരാതി നൽകി ബി.ഉണ്ണികൃഷ്ണൻ, തന്നോട് വ്യക്തിവിരോധമെന്ന് സജി നന്ത്യാട്ട്; തമ്മിലടിച്ച് ഫിലിം ചേംബറും ഫെഫ്കയും",https://www.manoramaonline.com/news/latest-news/2025/04/29/fefka-film-chamber-conflict-drug-abuse-case.html,29-04-2025,"കൊച്ചി∙ ലഹരി ഉപയോഗവുമായി ബന്ധപ്പെട്ട് ഉലഞ്ഞിരിക്കുന്ന മലയാള സിനിമാ മേഖലയെ പിടിച്ചുലച്ചു ഫിലിം ചേംബർ-ഫെഫ്ക തർക്കവും. ഫിലിം ചേംബർ ജനറൽ സെക്രട്ടറി സജി നന്ത്യാട്ടിനെതിരെ നടപടി എടുക്കണമെന്നാവശ്യപ്പെട്ടു ഫെഫ്ക ജനറൽ സെക്രട്ടറി ബി.ഉണ്ണികൃഷ്ണൻ ഫിലിം ചേംബറിന് പരാതി നൽകി. അതേസമയം, തന്നോട് ഉണ്ണികൃഷ്ണനു വ്യക്തിവിരോധമാണെന്നാണ് സജി നന്ത്യാട്ടിന്റെ പ്രതികരണം. വിഷയങ്ങൾ ചർച്ച ചെയ്യാൻ ചേംബർ ഇന്നു യോഗം ചേരുന്നുണ്ട്.",Manorama,B. Yuntikrishnan gave the film chamber and FeFc,"The film chamber-fefka disputes the Malayalam cinema of Malayoic usage in connection with alcoholics.Filkka General Secretary B. Yunknikrishnan complained to the Film Chamber asked the film chamber general secretary Saji Nancy.Meanwhile, the Saji Nancy's response is that Unnikrishnan is an uninnial probe into him.The Chamber is meeting today to discuss the topics.","{'pers': ['B Yunknikrishnan', 'Unnikrishn', 'B Yuntikrishnan', 'Saji Nancy'], 'miscs': ['Malayoi', 'Malayalam'], 'orgs': ['Chamber', 'Film Chamber'], 'events': []}"
‘ഏതാണ് ഈ യുവ അധികാരി?’: നിർണായക യോഗത്തിൽ മുഖ്യമന്ത്രിക്കൊപ്പം കുടുംബവും; ഔദ്യോഗിക വാഹനത്തിന്റെ മുൻസീറ്റിൽ വീണ,https://www.manoramaonline.com/news/latest-news/2025/04/29/vizhinjam-port-security-breach.html,29-04-2025,'വിസില്‍ ചെയര്‍മാനും ബന്ധപ്പെട്ട മന്ത്രിമാരും പങ്കെടുക്കുന്ന യോഗത്തില്‍ ഏതാണ് ഈ യുവ അധികാരി?' - വിഴിഞ്ഞം രാജ്യാന്തര തുറമുഖം കമ്മിഷനിങ്ങിന്റെ ഒരുക്കങ്ങള്‍ വിലയിരുത്താന്‍ മുഖ്യമന്ത്രി പിണറായി വിജയനും മന്ത്രിമാരും പങ്കെടുക്കുന്ന യോഗത്തില്‍ മുഖ്യമന്ത്രിയുടെ ഭാര്യയും മകളും കൊച്ചുമകനും പങ്കെടുക്കുന്ന ചിത്രം പങ്കുവച്ച് വിജിലന്‍സ് മുന്‍ ഡയറക്ടര്‍ ജേക്കബ് തോമസ് സമൂഹമാധ്യമത്തില്‍ ഉന്നയിച്ച ചോദ്യമാണിത്.,Manorama,"Which one is this young authority?At the critical meeting family, fabulous in the formation of official vehicle",Which of these young authority is at the participation of Chairman and Ministers. 'This is the question of Vigilanes's wife and grandson Jacob Thomas Mobile Jacob Thomas Mass in the meeting of the Chief Minister's wife and grandchildren at the meeting.,"{'pers': ['Jacob Thomas Mass', 'Jacob Thomas'], 'events': ['politics']}"
‘പഹൽഗാം ആക്രമണത്തിൽ പക്ഷപാതകരമായ റിപ്പോർട്ടിങ്’; ബിബിസിയെ അതൃപ്തി അറിയിച്ച് കേന്ദ്ര സർക്കാർ,https://www.manoramaonline.com/news/latest-news/2025/04/28/bbc-faces-indian-government-backlash-over-pahalgam-terror-attack-reporting.html,28-04-2025,പഹൽഗാം ഭീകരാക്രമണത്തിനു ശേഷം പ്രകോപനപരവും വർഗീയവുമായ ഉള്ളടക്കം പ്രചരിപ്പിച്ചതിന് 16 പാക്കിസ്ഥാൻ യൂട്യൂബ് ചാനലുകൾ ഇന്ത്യയിൽ നിരോധിച്ച് കേന്ദ്രസർക്കാർ‌. കേന്ദ്ര ആഭ്യന്തര മന്ത്രാലയത്തിന്റെ ശുപാർശകളുടെ അടിസ്ഥാനത്തിലാണ് ചാനലുകൾക്ക് നിരോധനം ഏർപ്പെടുത്തിയത്. 16 ചാനലുകൾക്കുമായി 63 ദശലക്ഷം സബ്‌സ്‌ക്രൈബർമാരാണ് ഉണ്ടായിരുന്നത്.,Manorama,Pahalgam attacks attacks BBC is displeased with displeasure,Pahalgar 16 Pakistan YouTube channels banned in India for promoting provocative and communal content after the terrorist attacks.The channels banned on the recommendations of the Union Home Ministry.There were 63 million subscribers for 16 channels.,"{'orgs': ['Pahalgar', 'BBC', 'Union Home Ministry', 'Pa'], 'locs': ['India', 'Pakistan'], 'events': ['terrorism']}"
"റാപ്പർ വേടന്റെ ഫ്ലാറ്റിൽ നിന്ന് കഞ്ചാവ് പിടികൂടി, കണ്ടെത്തിയത് 5 ഗ്രാം; കഞ്ചാവ് ഉപയോഗിക്കാറുണ്ടെന്ന് മൊഴി",https://www.manoramaonline.com/news/latest-news/2025/04/28/rapper-vedan-home-raided-police-seize-ganja-in-kochi.html,28-04-2025,കൊച്ചി ∙ റാപ്പർ വേടന്റെ ഫ്ലാറ്റിൽ നിന്ന് കഞ്ചാവ് പിടികൂടി. ഹിൽപാലസ് പൊലീസ് നടത്തിയ പരിശോധനയിലാണ് കഞ്ചാവ് കണ്ടെത്തിയത്. 5 ഗ്രാം കഞ്ചാവാണ് പിടികൂടിയത് എന്നാണ് പ്രാഥമിക വിവരം. പരിശോധന സമയത്ത് വേടൻ ഫ്ലാറ്റിലുണ്ടായിരുന്നു. പരിശോധന ഇപ്പോഴും തുടരുകയാണ്.,Manorama,Kanju seizes from the Flat of the rapper's flat,Kanja seizes from the flat of the Kochi rapper.The cannabis was found at the examination of the Hillpalus police.The primary information is that 5 grams of cannabis were arrested.In the autumn of the test.The test is still up.,"{'pers': ['Kanja', 'Kanju'], 'locs': ['Kerala, 682001, India'], 'orgs': ['Hillpalus'], 'events': []}"
"അന്ന് വെറും കയ്യോടെ മടങ്ങി, മാർച്ച് മുതൽ സംവിധായകർ നിരീക്ഷണത്തിൽ; സമീറിന്റെ ഫ്ലാറ്റ് സിനിമാക്കാരുടെ താവളം",https://www.manoramaonline.com/news/latest-news/2025/04/28/major-hybrid-cannabis-bust-malayalam-film-directors-khalid-rahman-ashraf-hamza-involved-updates.html,28-04-2025,ഹൈബ്രിഡ് കഞ്ചാവ് കേസിൽ‍ അറസ്റ്റിലായ സംവിധായകരടക്കമുള്ളവർ ഫ്ലാറ്റിലേക്ക് വരുന്നതും പോകുന്നതും എക്സൈസ് നിരീക്ഷിച്ചു തുടങ്ങിയത് മാർച്ച് തുടക്കം മുതൽ. കൃത്യമായ വിവരങ്ങളുടെ അടിസ്ഥാനത്തിൽ മാർച്ച് മാസത്തിൽ റെയ്ഡിന് എക്സൈസ് സംഘം എത്തിയെങ്കിലും ചില അപ്രതീക്ഷിത സംഭവങ്ങളെ തുടർന്ന് വെറുംകൈയോടെ മടങ്ങേണ്ടി വന്നിരുന്നു.,Manorama,"Just just got back and handed over with him, directors to directors from observations","From the beginning of the Exise, including the directors who were arrested in the Hybrid cannabis case.In the same basis of accurate information, the raid was reached but did not return to some unexpected events.","{'miscs': ['Exise', 'Hybrid'], 'events': []}"
തിരുനെൽവേലിയിൽ കാറുകൾ കൂട്ടിയിടിച്ച് അപകടം; 7 മരണം,https://www.manoramaonline.com/news/latest-news/2025/04/28/seven-people-died-in-a-tragic-accident-in-tirunelveli.html,28-04-2025,കന്യാകുമാരി ∙ തിരുനെൽവേലി നാഞ്ചിനേരിക്ക് സമീപമുള്ള ദളപതിസമുദ്രത്തില്‍ കാറുകൾ കൂട്ടിയിടിച്ച് ഏഴു മരണം. ഒരു കാറിലെ ആറു പേർ ഉൾപ്പെടെ 7 പേരാണ് മരിച്ചത്.,Manorama,7 killed in Tirunelveli,"Seven deaths will collided with cars in the battle near Kanyakumari Tirunelveli Nancainerer.The died of 7 people, including six people in a car.","{'locs': ['Tamil Nadu, 627001, India'], 'events': ['accident']}"
"‘തസ്‍ലീമ സുഹൃത്ത്, ലഹരി ഇടപാടുമായി തനിക്ക് ബന്ധമില്ല; ഷൈനിനേയും ശ്രീനാഥ് ഭാസിയേയും അറിയാം’",https://www.manoramaonline.com/news/latest-news/2025/04/28/model-k-soumya-questioned-alongside-shine-tom-chacko-and-sreenath-bhasi-denies-involvement-in-hybrid-cannabis-case.html,28-04-2025,"ആലപ്പുഴ ∙ തസ്‌ലീമ സുഹൃത്താണെന്ന് ഹൈബ്രിഡ് കഞ്ചാവ് കേസിൽ ആലപ്പുഴ എക്സൈസ് കമ്മിഷണർ ഓഫിസിൽ‌ ചോദ്യം ചെയ്യലിന് ഹാജരായ മോഡൽ കെ. സൗമ്യ. 6 മാസമായി തസ്‌ലീമയെ അറിയാം. അവളെ കുറിച്ച് അറിയാനാണ് തന്നെ വിളിപ്പിച്ചത്. ലഹരി ഇടപാടുമായി തനിക്ക് ബന്ധമില്ല. ഷൈൻ ടോം ചാക്കോ, ശ്രീനാഥ് ഭാസി എന്നിവരെ അറിയാമെന്നും സൗമ്യ പറഞ്ഞു. അവർ‌ ലഹരി ഉപയോഗിക്കുമോയെന്ന് അറിയില്ല. കൊച്ചിയിൽ വന്നിട്ടാണ് തസ്‍ലീമയെ പരിചയപ്പെട്ടതെന്നും പാലക്കാട് സ്വദേശിനിയായ സൗമ്യ പറഞ്ഞു.",Manorama,He knows Shiny and Sreenath Bazi with Taslimma friend and intoxication,"The Model K is the model K.Soum.Taslima is known for 6 months.He was summoned to know her about her.There is no alcoholic dealer.Soumya said Shine Tom Chacko and Srinath Bhasi will know Srinath Bhasi.They don't know if they are drunk.Soumya, Soumya, a native of Palakkad, is also acquainted with Taslema.","{'pers': ['Srinath BhasiSoumya Soumya', 'Shiny', 'Srinath Bhasi', 'Shine', 'Sreenath Ba', 'Tasle', 'Taslim', 'Tom Chacko', 'KSmTaslimSoumya'], 'locs': ['Palakkad, Kerala, India'], 'events': []}"
"‘പിണറായി കത്തിയെരിയുന്ന സൂര്യൻ, ദുരന്തഭൂമികളിൽ ഫോട്ടോഷൂട്ട് നടത്തുന്നവർ ആ ഇച്ഛാശക്തിയും നേതൃപാടവവും കണ്ടുപഠിക്കണം’",https://www.manoramaonline.com/news/latest-news/2025/04/27/ex-private-secretary-kk-ragesh-praises-pinarayi-vijayans-transformative-governance-in-kerala.html,27-04-2025,കണ്ണൂര്‍ ∙ മുഖ്യമന്ത്രി പിണറായി വിജയനെ പുകഴ്ത്തി അദ്ദേഹത്തിന്റെ മുൻ പ്രൈവറ്റ് സെക്രട്ടറിയും സിപിഎം കണ്ണൂർ ജില്ലാ സെക്രട്ടറിയുമായ കെ.കെ.രാഗേഷ്. ത്യാഗപൂർണമായ ജീവിതമാണ് അദ്ദേഹത്തിന്റേതെന്നും സഹജീവികള്‍ക്ക് വേണ്ടി കത്തിയെരിയുന്ന സൂര്യനാണ് പിണറായി വിജയന്‍ എന്നും കെ.കെ. രാഗേഷ് ഫെയ്സ്ബുക്കിൽ കുറിച്ചു.,Manorama,"Pinarayi Kannayi Sun, Photoshoot in disaster lands should be founded by the will","KK regain, also his former private secretary and CPM Kannur district secretary, praised Kannur Chief Minister Pinarayi Vijayan.The KK is the high-sacrificial life for him and Pinarayi Vijayan.Ragesh was noted on Facebook.","{'orgs': ['Facebook', 'CPM Kannur', 'Pinarayi', 'KK'], 'pers': ['Kannayi Sun Photo', 'Pinarayi Vijay', 'Pinarayi VijayanR'], 'locs': ['Kannur, Kerala, India'], 'events': ['politics']}"
കശ്മീരിൽ നിരീക്ഷണം ശക്തമാക്കി: 14 ഭീകരരുടെ പട്ടിക പുറത്തുവിട്ട് ഐബി; സഹായം നൽകിയവർ കസ്റ്റഡിയിൽ,https://www.manoramaonline.com/news/latest-news/2025/04/27/pahalgham-attack-ib-released-list-of-14-terrorists.html,27-04-2025,ന്യൂഡൽഹി∙ പഹൽഗാം ഭീകരാക്രമണത്തിനു പിന്നിൽ പ്രവർത്തിച്ച ഭീകരർക്കെതിരെയും സഹായം നൽകിയവർക്കെതിരെയും ശക്തമായ നടപടി സ്വീകരിച്ച് സുരക്ഷാ സേന. ഭീകരാക്രമണവുമായി ബന്ധപ്പെട്ട് ഇന്റലിജൻസ് ബ്യൂറോ 14 ഭീകരരുടെ പട്ടിക തയാറാക്കി. ഐബിയുടെ പട്ടികയിലുള്ളവരെല്ലാം 20നും 40നും ഇടയിൽ പ്രായമുള്ളവരും പാക്കിസ്ഥാനിൽനിന്നു സഹായം ലഭിക്കുന്നവരുമാണെന്ന് റിപ്പോർട്ടുകൾ പറയുന്നു.,Manorama,"Kashmir has strengthened the observation of 14 terrorists, listen to the terrorists and provided to custody",The security forces have taken strong action against the terrorists who have been behind the terror attacks and helpers behind the terror attacks.The Intelligence Bureau was prepared in connection with the terrorist attacks.Reports say that all those in the IB list are all between 20 and 40 years older from Pakistan.,"{'locs': ['Barmer, Rajasthan, India', 'Pakistan'], 'orgs': ['Intelligence Bureau', 'IB'], 'events': ['terrorism']}"
"‘എന്റെ ഹൃദയത്തിലെ അഗാധമായ വേദന, രാജ്യം ഒറ്റക്കെട്ടായി പ്രതിസന്ധിയെ നേരിടും; ലോകം മുഴുവൻ ഇന്ത്യയ്ക്കൊപ്പം’",https://www.manoramaonline.com/news/latest-news/2025/04/27/narendra-modi-condemns-pahalgam-attack-on-mann-ki-baat.html,27-04-2025,ന്യൂഡൽഹി ∙ പഹൽഗാമം ഭീകരാക്രമണം തന്റെ ഹൃദയത്തിലെ അഗാധമായ വേദനയെന്ന് പ്രധാനമന്ത്രി നരേന്ദ്ര മോദി. എല്ലാ ഇന്ത്യക്കാരുടെ ഉള്ളിലും പഹൽഗാം ഭീകരാക്രമണത്തിന് എതിരെയുള്ള പ്രതിഷേധം ഇരുമ്പുകയാണെന്നും അദ്ദേഹം പറഞ്ഞു. പ്രധാനമന്ത്രിയുടെ പ്രതിമാസ റേഡിയോ പരിപാടിയായ മൻ കീ ബാത്തിലാണ് മോദിയുടെ പരാമർശം.,Manorama,Profound pain in my heart and the country directly faces crisis together with India,"Prime Minister Narendra Modi says New Delhi PerformanceHe said that the Pahalgam was inhabited by the Pahalgam in front of the terrorist attacks.Modi's reference to Man Kay Back, the Prime Minister's monthly radio program.","{'locs': ['India', 'Jammu and Kashmir, 192126, India'], 'pers': ['Narendra Modi'], 'orgs': ['New Delhi PerformanceH'], 'miscs': ['Man Kay'], 'events': ['terrorism', 'politics']}"
"130 ആണവായുധങ്ങൾ ചുമ്മാ കാണാനല്ല, ഇന്ത്യയ്‌ക്കെതിരെ പ്രയോഗിക്കാൻ; കരാർ റദ്ദാക്കിയാൽ യുദ്ധം: ഭീഷണിയുമായി പാക്ക് മന്ത്രി",https://www.manoramaonline.com/news/latest-news/2025/04/27/pakistan-minister-issues-nuclear-threat-against-india-over-water-treaty.html,27-04-2025,ഇസ്‌ലാമാബാദ്∙ ആണവായുധങ്ങളുടെ കണക്കുകൾ നിരത്തി ഇന്ത്യയ്‌ക്കെതിരെ പാക്കിസ്ഥാൻ റെയിൽവേ മന്ത്രി ഹനീഫ് അബ്ബാസിയുടെ ഭീഷണി. ഇന്ത്യയെ നേരിടാൻ പാക്കിസ്ഥാന്റെ കൈവശം 130 ആണവായുധങ്ങൾ ഉണ്ടെന്ന് പാക്ക് മന്ത്രി പറഞ്ഞു. പാക്കിസ്ഥാനുമായുള്ള സിന്ധു നദീജല കരാർ റദ്ദാക്കിയാൽ ഇന്ത്യ യുദ്ധത്തിനു തയാറായിരിക്കണമെന്നും മന്ത്രി ഭീഷണിപ്പെടുത്തി.,Manorama,"Pakistani minister to war with war, not to take a nuclear weapons",Pakistani Railway Minister Hanif Abbasi threatened the statistics of Islamabad nuclear weapons.Pakistani minister said that there were 130 nuclear weapons to face India.The minister also threatened to be ready for war against war against the Indus College Agreement with Pakistan.,"{'miscs': ['Indus College Agreement', 'Pakistani'], 'pers': ['Hanif Abbas'], 'locs': ['India', 'Pakistan'], 'events': ['politics']}"
മുഖ്യമന്ത്രിയുടെ വിരുന്നിൽ ഗവർണർമാർ പങ്കെടുക്കില്ല; ക്ഷണം നിരസിച്ച് രാജേന്ദ്ര അർലേക്കറും ആനന്ദബോസും ശ്രീധരൻപിള്ളയും,https://www.manoramaonline.com/news/latest-news/2025/04/27/governors-refuse-pinarayi-vijayan-s-invitation-for-dinner.html,27-04-2025,തിരുവനന്തപുരം ∙ മുഖ്യമന്ത്രി പിണറായി വിജയൻ ഇന്നു ക്ലിഫ് ഹൗസിൽ നടത്താനിരുന്ന അത്താഴവിരുന്നിൽ പങ്കെടുക്കേണ്ടെന്ന് തീരുമാനിച്ച് ഗവർണർ രാജേന്ദ്ര അർലേക്കർ. വിരുന്ന് തെറ്റായ സന്ദേശം നൽകുമെന്ന് വിലയിരുത്തിയാണ് രാജ്ഭവന്റെ നടപടി. മുഖ്യമന്ത്രിയും ഭാര്യയും രാജ്ഭവനിലെത്തിയാണ് ഗവർണറെ വിരുന്നിലേക്ക് ക്ഷണിച്ചത്. എന്നാൽ ഗവർണർ വിരുന്നിൽ പങ്കെടുക്കില്ലെന്ന് കഴിഞ്ഞയാഴ്ച മുഖ്യമന്ത്രിയെ രാജ്ഭവൻ അറിയിക്കുകയായിരുന്നു.,Manorama,Rajendra Arkharan Pillai and Sreedharan Pillai will not participate in the banquet of the chief minister,"Chief Minister Pinarayi Vijayan today decided not to attend the day of the Cliff House.Raj Bhavan's action is to assess the false message.The Chief Minister and his wife invited the Governor to the banquet.However, the Chief Minister was noted that the Chief Minister was not contributed to the banquet of the Governor.","{'pers': ['Rajendra Arkharan Pillai', 'Pinarayi Vijay', 'Sreedharan Pillai'], 'orgs': ['Cliff', 'Bha'], 'locs': [], 'events': ['politics']}"
"‘പെരുമാറിയത് അടിമയെ പോലെ; വിവസ്ത്രനാക്കിയത് നാട്ടുകാർ മോശമായി കാണാൻ, ‘വിജയാ, വിജയാ’എന്നു വിളിച്ച് കൊന്നു’",https://www.manoramaonline.com/news/latest-news/2025/04/26/kottayam-double-murder-revenge-killing.html,26-04-2025,കോട്ടയം ∙ തിരുവാതുക്കലില്‍ ഇന്ദ്രപ്രസ്ഥം ഓഡിറ്റോറിയം ഉടമ വിജയകുമാറും ഭാര്യ മീരയും കൊല്ലപ്പെട്ട സംഭവത്തിൽ അസം സ്വദേശി അമിത് ഉറാങ്ങിന്റെ മൊഴിയിൽ നിറഞ്ഞുനിന്നത് ഞെട്ടിപ്പിക്കുന്ന വൈരാഗ്യത്തിന്റെ കഥ. തന്‍റെ കുടുംബത്തെ നശിപ്പിച്ചതിലുള്ള അടങ്ങാത്ത പ്രതികാരമാണ് കൊലയ്ക്ക് പിന്നിലെന്ന് പല്ലു കടിച്ചുകൊണ്ടാണ് അമിത് പൊലീസിനോട് വിവരിച്ചത്.,Manorama,"Vigariwariyanists call it poorly, Vijaya, as a slave slave","The story of a shocking wealth was filled with Vijayakumar Auditorium owner in the Kottayam and Aderorium owner Vijayakumar and his wife Meera.Amitu Division was described in the teeth of the teeth, which is destroyed by the destroying his family was destroyed.","{'pers': ['Vijay', 'Vijayakumar'], 'locs': ['Kottayam, Kerala, India'], 'orgs': ['Aderorium', 'MeAmitu Division'], 'events': []}"
പാക്കിസ്ഥാനുമായുള്ള തർക്ക പരിഹാര ചർച്ചകളിൽനിന്ന് ഇന്ത്യ പിൻമാറിയേക്കും; കരാർ മരവിപ്പിച്ചത് അറിയിച്ചു,https://www.manoramaonline.com/news/latest-news/2025/04/26/india-pakistan-world-bank-treaty-conflict-dispute.html,26-04-2025,ന്യൂഡൽഹി∙ പാക്കിസ്ഥാനുമായുള്ള ലോകബാങ്ക് ഇടപെട്ടുള്ള തർക്ക പരിഹാര ചർച്ചകളിൽനിന്ന് ഇന്ത്യ പിൻമാറിയേക്കുമെന്ന് റിപ്പോർട്ട്. ഈ വിഷയത്തില്‍ വിദേശകാര്യ മന്ത്രാലയം അറ്റോർണി ജനറലിന്റെ ഉപദേശം തേടി. ഇതു സംബന്ധിച്ച് ഇന്ത്യ പാക്കിസ്ഥാന് നയതന്ത്ര കുറിപ്പ് നൽകി. സിന്ധു നദീജല കരാർ മരവിപ്പിച്ചതും ഇന്ത്യ ഔദ്യോഗികമായി അറിയിച്ചു.,Manorama,India will remain withdrawn from disputed solutions with Pakistan,India will be able to pinning the World Bank disputed discussions with New Delhi Pakistan.Foreign Ministry in this issue sought the advice of Attorney General.India gave Pakistan's diplomatic note.India has officially informed the Sindhu river-river contract.,"{'locs': ['Delhi, 110006, India', 'India', 'Delhi, 110021, India', 'Pakistan'], 'orgs': ['World Bank', 'Pakistanoreign MinistryIndi'], 'miscs': ['Sindhu'], 'events': []}"
അരൂരിലേക്ക് തോമസ് ഐസക്കിന്റെയും ആരിഫിന്റെയും പേരുകൾ; ആലപ്പുഴയിലെ പാർട്ടി നേതൃത്വത്തിലും മാറ്റങ്ങൾക്കു സാധ്യത,https://www.manoramaonline.com/news/latest-news/2025/04/26/kerala-assembly-elections-cpm-candidates-alappuzha-assumptions.html,26-04-2025,നിയമസഭാ തിരഞ്ഞെടുപ്പുമായി ബന്ധപ്പെട്ട അനൗദ്യോഗിക ആലോചനകൾ സിപിഎമ്മിൽ സജീവമായി. സ്ഥാനാർഥികൾ ആരൊക്കെ എന്നതിനെ ആശ്രയിച്ച് ജില്ലയിലെ പാർട്ടി നേതൃത്വത്തിലും മാറ്റങ്ങൾക്കു സാധ്യത. ജില്ലാ സെക്രട്ടറി ആർ.നാസർ നിയമസഭയിലേക്കു മത്സരിച്ചാൽ മന്ത്രി സജി ചെറിയാന്റെ പ്രൈവറ്റ് സെക്രട്ടറി സ്ഥാനം ഒഴിഞ്ഞു ജില്ലയിലെ പ്രവർത്തനങ്ങളിൽ സജീവമാകുന്ന ജില്ലാ സെക്രട്ടേറിയറ്റ് അംഗം മനു സി.പുളിക്കൽ ജില്ലാ സെക്രട്ടറിയാകാൻ സാധ്യതയേറെയാണ്.,Manorama,Thomas Isaac and Aurif's names in Aruku Party leadership,"The CPM was active in the CPM associated with the assembly elections.Depending candidates, the party leadership will be changed in the district.The district secretariat member is believed to have been activated in the District Secretary R. Nasarian Assembly.","{'pers': ['Thomas Isaac', 'R Nasarian', 'Auri'], 'orgs': ['CPM', 'Aruku Party'], 'events': ['politics']}"
"മുതലപ്പൊഴി പൊഴിമുഖം തുറന്നു, വെള്ളം പൂർണമായി ഒഴുകാൻ 2 ദിവസത്തിലേറെ വേണം; വിദഗ്ധസംഘം പ്രദേശത്തേക്ക്",https://www.manoramaonline.com/news/latest-news/2025/04/26/muthalappozhi-sand-removal-dredging-update.html,26-04-2025,തിരുവനന്തപുരം∙ മുതലപ്പൊഴി മത്സ്യബന്ധന തുറമുഖ കേന്ദ്രത്തിലെ മണല്‍മൂടിക്കിടന്ന പൊഴിമുഖം തുറന്നു. നിലവില്‍ വെള്ളം പൂര്‍ണമായി ഒഴുകിപ്പോകുന്നതിനു രണ്ടു ദിവസത്തിലേറെ സമയം വേണമെന്നാണു കണക്കാക്കപ്പെടുന്നത്.,Manorama,To the area of ​​the expert group should be opened over 2 days 2 days 2 days to flow full in water,"Thiruvananthapuram, opened the sands of the center of the center of the Center.In the current time, it is estimated that the water is completely flowing in two days.","{'pers': ['Thirnthapuram'], 'orgs': ['Center'], 'events': []}"
